"","X","GCM","RCM","Edge_Treatment","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"2492",2492,"CCCMA3.1"," R3","e10","l15",7563.83417395335,9.50606897342368,2.16374689975055,65482.329132501,3933.33170027472,7.84216945164153,"SA"
"2493",2493,"CCCMA3.1"," R3","e15","l0",7651.61967681693,9.69944508018671,2.18460601521656,67021.8801954761,3994.99107617885,8.76040304034177,"SA"
"2494",2494,"CCCMA3.1"," R3","e15","l1",7542.28256209865,9.46146066708025,2.10930432585883,65217.7641396411,3905.82165773958,7.84984823842533,"SA"
"2495",2495,"CCCMA3.1"," R3","e15","l2",7526.82724125599,9.4059256145556,2.10715960041853,65044.2832526751,3896.24973665923,7.85795031690432,"SA"
"2496",2496,"CCCMA3.1"," R3","e15","l3",7531.49805891989,9.34357558231568,2.10343102764455,64987.5099621713,3884.85542894341,7.83952745052084,"SA"
"2497",2497,"CCCMA3.1"," R3","e15","l5",7549.46234032186,9.30894312390592,2.10142927549896,65064.8101298138,3875.49627537373,7.85818774855143,"SA"
"2498",2498,"CCCMA3.1"," R3","e15","l10",7513.42451094259,9.32873470708728,2.09797856019577,64865.2806179598,3871.93886761088,7.85252847808151,"SA"
"2499",2499,"CCCMA3.1"," R3","e15","l15",7521.48343557669,9.36681326929829,2.09267957761767,64876.7704502679,3867.98828747123,7.84704795053331,"SA"
"2500",2500,"CSIRO-MK3.0"," R1","e0","l0",8060.62017814089,11.544918223226,2.85989056152175,72010.661914479,4365.8759535756,7.95745886379955,"SA"
"2501",2501,"CSIRO-MK3.0"," R1","e0","l1",8085.3848179468,11.6346341581084,2.81536065551336,73365.8743766136,4402.02728286386,8.93443362337202,"SA"
"2502",2502,"CSIRO-MK3.0"," R1","e0","l2",8111.20207029935,11.7446000066411,2.83099169551861,73242.2623676248,4423.04475861602,8.89438387789996,"SA"
"2503",2503,"CSIRO-MK3.0"," R1","e0","l3",8115.48358680271,11.6922542902466,2.86077650496736,73276.4762477018,4414.03979877941,8.95454786607879,"SA"
"2504",2504,"CSIRO-MK3.0"," R1","e0","l5",8164.68370907186,11.7078844910429,2.79147286884836,73864.9155064486,4432.18712275848,8.90816300923398,"SA"
"2505",2505,"CSIRO-MK3.0"," R1","e0","l10",8120.28160290411,11.6339196903573,2.81386918053613,73474.9264102429,4413.90601685271,8.95173512843103,"SA"
"2506",2506,"CSIRO-MK3.0"," R1","e0","l15",8124.63790944479,11.7790428036824,2.859761237778,73278.481809888,4426.97754083201,8.91877369859358,"SA"
"2507",2507,"CSIRO-MK3.0"," R1","e1","l0",8060.51737921834,11.3264299707953,2.77590990648605,73260.001567658,4409.63085112162,8.97518677706321,"SA"
"2508",2508,"CSIRO-MK3.0"," R1","e1","l1",8038.77737201471,11.2115069924039,2.68068406410748,71072.5675080903,4302.85669234581,7.95502939779472,"SA"
"2509",2509,"CSIRO-MK3.0"," R1","e1","l2",8017.3655402666,11.1727564714965,2.63126293793903,70960.7759751379,4297.53090441227,7.96707624646515,"SA"
"2510",2510,"CSIRO-MK3.0"," R1","e1","l3",8005.32183217378,10.9789685804571,2.64826403683401,70860.6180530041,4280.24203469977,7.96231957732598,"SA"
"2511",2511,"CSIRO-MK3.0"," R1","e1","l5",7968.8333611832,10.9780818775471,2.60767771615065,70671.4897947386,4263.69508448988,7.97930005654052,"SA"
"2512",2512,"CSIRO-MK3.0"," R1","e1","l10",7999.2574119282,11.0920952900779,2.63524264300941,70852.7054060251,4291.09865054488,7.95235716155294,"SA"
"2513",2513,"CSIRO-MK3.0"," R1","e1","l15",8007.0791264819,11.1110664538865,2.67455545937992,71108.3677336574,4277.48392894864,7.95292629026371,"SA"
"2514",2514,"CSIRO-MK3.0"," R1","e2","l0",8085.01503647817,11.396195327543,2.7497341381968,72742.6925096661,4382.79668008909,8.91341677635428,"SA"
"2515",2515,"CSIRO-MK3.0"," R1","e2","l1",8007.23067182479,11.0250397495111,2.62441190352547,70952.8556838632,4271.54377195984,7.95759314330789,"SA"
"2516",2516,"CSIRO-MK3.0"," R1","e2","l2",7979.51558966283,11.0171718912898,2.60785943246447,70539.8249798454,4258.12256638892,7.9564993492997,"SA"
"2517",2517,"CSIRO-MK3.0"," R1","e2","l3",7991.49896782413,10.9122499772639,2.61292007329757,70637.0753520168,4239.50331751257,7.96192118812251,"SA"
"2518",2518,"CSIRO-MK3.0"," R1","e2","l5",7981.78222891083,11.0057285324729,2.57981858259882,70633.0316057429,4246.65773613378,7.95894838218665,"SA"
"2519",2519,"CSIRO-MK3.0"," R1","e2","l10",7966.72887910781,10.9010746903368,2.58587004122091,70368.3571531437,4251.75521755591,7.93485379557751,"SA"
"2520",2520,"CSIRO-MK3.0"," R1","e2","l15",7981.4720621679,11.0036942746956,2.5728289198014,70451.2736946344,4251.51661457494,7.94839727380095,"SA"
"2521",2521,"CSIRO-MK3.0"," R1","e3","l0",8048.36864499524,11.1902652238496,2.70704328926513,72627.9694843106,4347.96390729025,8.94310838465463,"SA"
"2522",2522,"CSIRO-MK3.0"," R1","e3","l1",7975.79404008687,10.872904703574,2.53443695575697,70598.5462944955,4235.39403150789,7.96468324045927,"SA"
"2523",2523,"CSIRO-MK3.0"," R1","e3","l2",7980.24252218343,10.7932164269732,2.52532018290367,70660.9616866335,4232.36527037807,7.95678836148654,"SA"
"2524",2524,"CSIRO-MK3.0"," R1","e3","l3",7947.17603168776,10.7427447957161,2.46314261137741,70349.3464803323,4208.89263064601,7.95774076184025,"SA"
"2525",2525,"CSIRO-MK3.0"," R1","e3","l5",7934.91642290885,10.7580619009968,2.483103837003,70305.4430661723,4230.55194225162,7.96951193734785,"SA"
"2526",2526,"CSIRO-MK3.0"," R1","e3","l10",7946.07229846362,10.762611143,2.53191082883859,70319.7619845159,4220.78919666819,7.97651043986771,"SA"
"2527",2527,"CSIRO-MK3.0"," R1","e3","l15",7973.94256547168,10.7836180517916,2.51322171243373,70352.9017036781,4211.87874185853,7.96029650393903,"SA"
"2528",2528,"CSIRO-MK3.0"," R1","e5","l0",8021.4129963466,10.923578121874,2.50389882639865,71842.0243202709,4302.48959455639,8.93597382707012,"SA"
"2529",2529,"CSIRO-MK3.0"," R1","e5","l1",8000.67841061642,10.6240989177604,2.44053485104814,70307.950984221,4215.29473853298,7.96333422645839,"SA"
"2530",2530,"CSIRO-MK3.0"," R1","e5","l2",7949.54346776474,10.6035381300899,2.44246791145997,69969.8254852556,4214.81662639417,7.96130581746183,"SA"
"2531",2531,"CSIRO-MK3.0"," R1","e5","l3",7937.00225767763,10.608179167466,2.38028093852336,69926.5081826597,4200.09939116426,7.96611851050184,"SA"
"2532",2532,"CSIRO-MK3.0"," R1","e5","l5",7952.89791582841,10.5448210242321,2.43969332033885,69740.25428202,4197.49147468247,7.95083741102499,"SA"
"2533",2533,"CSIRO-MK3.0"," R1","e5","l10",7947.96341557251,10.5291154820588,2.38263295133947,69608.1159091555,4180.72449439205,7.95371773604129,"SA"
"2534",2534,"CSIRO-MK3.0"," R1","e5","l15",7980.91837923825,10.5865845679364,2.4043878755765,69996.7837142758,4191.51087524369,7.95948727577634,"SA"
"2535",2535,"CSIRO-MK3.0"," R1","e10","l0",7950.22724728864,10.1678701055062,2.34248430278967,70748.2150061987,4237.94550891034,8.9558933230066,"SA"
"2536",2536,"CSIRO-MK3.0"," R1","e10","l1",7862.41872261409,9.98756148779648,2.28435300450656,69118.5420854017,4128.14451684244,7.96195320178012,"SA"
"2537",2537,"CSIRO-MK3.0"," R1","e10","l2",7868.32297712145,9.93930218857713,2.26332975027617,68899.0908507258,4123.78502869979,7.96947369881236,"SA"
"2538",2538,"CSIRO-MK3.0"," R1","e10","l3",7864.89325886918,9.97881710747606,2.23490657692309,68790.1219651103,4097.22667420283,7.96338224694482,"SA"
"2539",2539,"CSIRO-MK3.0"," R1","e10","l5",7852.92325032959,9.89897724342882,2.2562959586503,68708.5507148877,4103.42003707774,7.96896948668509,"SA"
"2540",2540,"CSIRO-MK3.0"," R1","e10","l10",7852.57529642824,9.94614760245895,2.25587612469099,68661.4227844402,4104.02942146175,7.96773874834398,"SA"
"2541",2541,"CSIRO-MK3.0"," R1","e10","l15",7870.88927887445,9.9753047451668,2.25963074510219,68831.4819894731,4127.19606421888,7.95681415026629,"SA"
"2542",2542,"CSIRO-MK3.0"," R1","e15","l0",7959.46933978451,10.1708956410585,2.281700984895,70389.6725513041,4190.86752808653,8.93011180343528,"SA"
"2543",2543,"CSIRO-MK3.0"," R1","e15","l1",7848.26798553001,9.92342370635015,2.20325900867465,68544.460715726,4099.42653169855,7.96515543892892,"SA"
"2544",2544,"CSIRO-MK3.0"," R1","e15","l2",7831.29722103057,9.86837512347847,2.20021830115002,68363.6175738648,4088.45104486682,7.97314813443081,"SA"
"2545",2545,"CSIRO-MK3.0"," R1","e15","l3",7833.96484788293,9.80061027308693,2.19674777210457,68300.3261117265,4077.29512895457,7.9551138782801,"SA"
"2546",2546,"CSIRO-MK3.0"," R1","e15","l5",7854.26872197622,9.76452129048994,2.19408246906823,68379.6288431622,4066.99353153817,7.97314635589428,"SA"
"2547",2547,"CSIRO-MK3.0"," R1","e15","l10",7817.72645166814,9.78679220177582,2.18983375409152,68184.0445692651,4064.20036638156,7.96817270827814,"SA"
"2548",2548,"CSIRO-MK3.0"," R1","e15","l15",7826.44608763847,9.82451339601539,2.18470683976193,68188.1244503893,4059.1391841881,7.96228311732702,"SA"
"2549",2549,"CSIRO-MK3.0"," R2","e0","l0",8283.03082232317,11.9767322816188,2.97421394716366,74542.517232243,4516.66094921529,8.03986688324439,"SA"
"2550",2550,"CSIRO-MK3.0"," R2","e0","l1",8307.56708991565,12.0619011559756,2.92506349869655,75907.4135543779,4551.93607183173,9.04818816744155,"SA"
"2551",2551,"CSIRO-MK3.0"," R2","e0","l2",8334.48130663494,12.1772433732986,2.94116334189312,75792.4500047229,4574.09298978746,9.00711576942267,"SA"
"2552",2552,"CSIRO-MK3.0"," R2","e0","l3",8337.36241063261,12.1244147082325,2.97280251164921,75818.7400219031,4564.56114212051,9.06831041654295,"SA"
"2553",2553,"CSIRO-MK3.0"," R2","e0","l5",8388.5777104849,12.1399605597253,2.90181042393669,76427.7358669788,4584.27253807895,9.02170591043614,"SA"
"2554",2554,"CSIRO-MK3.0"," R2","e0","l10",8343.2622669029,12.0610274621868,2.92466306957067,76033.7508055381,4564.86288527958,9.06560883444836,"SA"
"2555",2555,"CSIRO-MK3.0"," R2","e0","l15",8347.54095522873,12.2142799857829,2.97144059077254,75830.4697987624,4579.15416522883,9.03278879826539,"SA"
"2556",2556,"CSIRO-MK3.0"," R2","e1","l0",8281.82965851659,11.74444680335,2.88514791915077,75808.2295958884,4561.07758707367,9.09063181116799,"SA"
"2557",2557,"CSIRO-MK3.0"," R2","e1","l1",8260.52066213619,11.6300029319245,2.78639852505876,73577.4586447515,4451.62132708356,8.03774243327498,"SA"
"2558",2558,"CSIRO-MK3.0"," R2","e1","l2",8237.38525194339,11.5878048192826,2.7343824878335,73456.9072136655,4445.93918626197,8.04996268925752,"SA"
"2559",2559,"CSIRO-MK3.0"," R2","e1","l3",8226.17537421947,11.387598895526,2.75124261999736,73357.2924346663,4428.15518169664,8.04456486067793,"SA"
"2560",2560,"CSIRO-MK3.0"," R2","e1","l5",8188.68805201249,11.3879582087975,2.71025677779107,73158.2039273344,4411.83338779956,8.06166894818161,"SA"
"2561",2561,"CSIRO-MK3.0"," R2","e1","l10",8219.51202663826,11.5041717684653,2.73753562723869,73345.5654834397,4439.6682579536,8.03453930685791,"SA"
"2562",2562,"CSIRO-MK3.0"," R2","e1","l15",8227.44160962431,11.5251311799511,2.77916270890273,73611.0330228694,4425.22341012955,8.03559486233062,"SA"
"2563",2563,"CSIRO-MK3.0"," R2","e2","l0",8307.11128440751,11.8196163966786,2.85718478946364,75279.878272675,4533.82233600132,9.02679338439048,"SA"
"2564",2564,"CSIRO-MK3.0"," R2","e2","l1",8227.21288072951,11.4389643004688,2.72681218149955,73450.8797726594,4419.14120735601,8.04021191635184,"SA"
"2565",2565,"CSIRO-MK3.0"," R2","e2","l2",8199.69667161694,11.4319669324323,2.71149420499569,73027.1174879745,4404.94763827883,8.03915813941567,"SA"
"2566",2566,"CSIRO-MK3.0"," R2","e2","l3",8211.97895946903,11.3225815161422,2.71534733852604,73122.2494672984,4386.21529820375,8.04476583530632,"SA"
"2567",2567,"CSIRO-MK3.0"," R2","e2","l5",8201.45373869501,11.4183936512563,2.67964816142921,73116.2358950824,4392.67754927278,8.04129326060429,"SA"
"2568",2568,"CSIRO-MK3.0"," R2","e2","l10",8186.60125987651,11.3112686887325,2.68732028373051,72849.8501800932,4398.49508041516,8.01644902680637,"SA"
"2569",2569,"CSIRO-MK3.0"," R2","e2","l15",8200.53378879037,11.4162418233173,2.67233346094145,72933.1058519892,4397.90958515368,8.03107207074572,"SA"
"2570",2570,"CSIRO-MK3.0"," R2","e3","l0",8268.83737428291,11.5984247054439,2.80981561707449,75146.5952917933,4497.72099615075,9.05703011115838,"SA"
"2571",2571,"CSIRO-MK3.0"," R2","e3","l1",8195.49544080226,11.2773443308834,2.63230772208772,73083.1923121586,4382.36788799986,8.0473295808195,"SA"
"2572",2572,"CSIRO-MK3.0"," R2","e3","l2",8200.87326145517,11.196357349254,2.62298778179684,73152.5678294711,4379.46063373238,8.03895183215791,"SA"
"2573",2573,"CSIRO-MK3.0"," R2","e3","l3",8166.256229218,11.1437130549166,2.55684653326171,72828.4121099859,4355.64530920237,8.04003406567863,"SA"
"2574",2574,"CSIRO-MK3.0"," R2","e3","l5",8153.49355634246,11.1563141198712,2.57743079200736,72774.1501382552,4376.5760792885,8.05229255721642,"SA"
"2575",2575,"CSIRO-MK3.0"," R2","e3","l10",8165.46836550422,11.1631770191889,2.62902674076031,72794.7472981177,4366.70026811771,8.05870325639189,"SA"
"2576",2576,"CSIRO-MK3.0"," R2","e3","l15",8194.03631347474,11.1872442688036,2.61011496026185,72830.7609912008,4357.80632589012,8.04279077942556,"SA"
"2577",2577,"CSIRO-MK3.0"," R2","e5","l0",8241.81440052576,11.3253254219308,2.60001045084209,74339.5889438689,4448.76685878262,9.05008141064172,"SA"
"2578",2578,"CSIRO-MK3.0"," R2","e5","l1",8220.88077990096,11.0211655197782,2.53393217019038,72778.440288268,4360.46916781925,8.045291389872,"SA"
"2579",2579,"CSIRO-MK3.0"," R2","e5","l2",8168.94014088251,10.9977093164343,2.53552251509973,72426.1892950162,4359.78674027137,8.04372806519896,"SA"
"2580",2580,"CSIRO-MK3.0"," R2","e5","l3",8155.68127238173,11.0031040800095,2.47058993729297,72382.6718963683,4344.96601321734,8.04814592312832,"SA"
"2581",2581,"CSIRO-MK3.0"," R2","e5","l5",8170.9239529022,10.9372115129372,2.5322399174911,72186.0142061487,4342.01284055598,8.03279457443859,"SA"
"2582",2582,"CSIRO-MK3.0"," R2","e5","l10",8165.52677320428,10.9231654119503,2.47301949624671,72060.8206121251,4324.9189038761,8.03669665975321,"SA"
"2583",2583,"CSIRO-MK3.0"," R2","e5","l15",8199.44214355843,10.9805663352017,2.49636982785887,72461.3369153813,4335.54852963425,8.04186238931507,"SA"
"2584",2584,"CSIRO-MK3.0"," R2","e10","l0",8167.25449807765,10.5397738587635,2.42984447148046,73186.625524424,4382.28038977832,9.07025167724933,"SA"
"2585",2585,"CSIRO-MK3.0"," R2","e10","l1",8079.03467587689,10.3593318758067,2.37029552910826,71536.9573840871,4270.84283693694,8.04459064945768,"SA"
"2586",2586,"CSIRO-MK3.0"," R2","e10","l2",8084.76568799242,10.3096168681805,2.34809475892689,71312.9209778272,4266.22346043587,8.05216894892728,"SA"
"2587",2587,"CSIRO-MK3.0"," R2","e10","l3",8080.13480447643,10.3481957429904,2.31870001996867,71198.72371573,4238.70962345973,8.04574580297631,"SA"
"2588",2588,"CSIRO-MK3.0"," R2","e10","l5",8067.49048013194,10.2654805516067,2.34027671380318,71109.6986280754,4244.72877196968,8.05168874704323,"SA"
"2589",2589,"CSIRO-MK3.0"," R2","e10","l10",8068.04580479031,10.315247427643,2.33970814340864,71069.1658579744,4245.96589384601,8.05021345992864,"SA"
"2590",2590,"CSIRO-MK3.0"," R2","e10","l15",8087.05072466191,10.3477829664189,2.34492845236673,71241.7080933228,4269.44554457441,8.03901319166835,"SA"
"2591",2591,"CSIRO-MK3.0"," R2","e15","l0",8176.23653810136,10.5421142090927,2.36596622911748,72823.7491264008,4335.34782053903,9.04409577871775,"SA"
"2592",2592,"CSIRO-MK3.0"," R2","e15","l1",8063.64177469285,10.2902587875724,2.28576439112658,70942.6937522367,4241.89454107545,8.04757234807621,"SA"
"2593",2593,"CSIRO-MK3.0"," R2","e15","l2",8045.70420548245,10.2349857331137,2.28147358284332,70756.3419905491,4230.0587806385,8.05559617094768,"SA"
"2594",2594,"CSIRO-MK3.0"," R2","e15","l3",8047.41498979172,10.1637343654875,2.27859582053497,70690.9928424284,4219.08004186116,8.03785892741798,"SA"
"2595",2595,"CSIRO-MK3.0"," R2","e15","l5",8068.62297271527,10.1264218312281,2.27521669759881,70766.9190894812,4207.85079943016,8.05543254558652,"SA"
"2596",2596,"CSIRO-MK3.0"," R2","e15","l10",8032.12695829542,10.1499959830835,2.27008243557066,70573.3533678576,4205.38773061708,8.05085995497866,"SA"
"2597",2597,"CSIRO-MK3.0"," R2","e15","l15",8040.91841273317,10.1876164152054,2.2656420597923,70576.5469148755,4199.96953941882,8.04481919140235,"SA"
"2598",2598,"CSIRO-MK3.0"," R3","e0","l0",7960.95399335464,11.3645580507,2.82294489166816,70845.4650985077,4300.46314164065,7.91992306779794,"SA"
"2599",2599,"CSIRO-MK3.0"," R3","e0","l1",7987.22710205624,11.463478190999,2.78246091111214,72257.3087066412,4340.14326287434,8.87910989256925,"SA"
"2600",2600,"CSIRO-MK3.0"," R3","e0","l2",8014.03172240183,11.5671006677439,2.79607704040245,72122.4656696431,4360.69591389969,8.83937761586858,"SA"
"2601",2601,"CSIRO-MK3.0"," R3","e0","l3",8018.62804732025,11.5131701737118,2.82483709990629,72165.2818480507,4351.5306848567,8.89912720801513,"SA"
"2602",2602,"CSIRO-MK3.0"," R3","e0","l5",8065.24693370685,11.529706849833,2.75639285187935,72719.9341407977,4368.02507960238,8.85208162782801,"SA"
"2603",2603,"CSIRO-MK3.0"," R3","e0","l10",8021.93488742011,11.4576173105161,2.77927844334044,72343.8156209886,4349.39610445872,8.89569109331205,"SA"
"2604",2604,"CSIRO-MK3.0"," R3","e0","l15",8025.66065177564,11.6000982563128,2.82265289613861,72148.9194780588,4363.36423759349,8.86150159293829,"SA"
"2605",2605,"CSIRO-MK3.0"," R3","e1","l0",7962.64689614605,11.1594863908249,2.74177869170671,72132.0721516386,4345.62686900608,8.9190404760935,"SA"
"2606",2606,"CSIRO-MK3.0"," R3","e1","l1",7940.00050436174,11.0383795837697,2.64687611270347,69923.6905439757,4238.57473861426,7.91676707259903,"SA"
"2607",2607,"CSIRO-MK3.0"," R3","e1","l2",7921.17778579863,11.0000090836547,2.59757477804669,69822.616181802,4233.65658079274,7.92921853535081,"SA"
"2608",2608,"CSIRO-MK3.0"," R3","e1","l3",7907.87723868322,10.8103249064879,2.61293652249151,69718.672814779,4215.0055738166,7.92484069151324,"SA"
"2609",2609,"CSIRO-MK3.0"," R3","e1","l5",7871.22989850556,10.8089962131635,2.57417850545608,69535.1076396182,4199.37537703663,7.94110976207448,"SA"
"2610",2610,"CSIRO-MK3.0"," R3","e1","l10",7901.63108879989,10.9185650803556,2.60108289206983,69715.564193204,4226.48659255356,7.91467196848243,"SA"
"2611",2611,"CSIRO-MK3.0"," R3","e1","l15",7909.17315390948,10.9389413986355,2.63924018188845,69958.0395384692,4213.40545616113,7.91506680061284,"SA"
"2612",2612,"CSIRO-MK3.0"," R3","e2","l0",7987.12377696475,11.2273766113503,2.71525451811613,71627.9159169644,4319.71699232236,8.85759861835541,"SA"
"2613",2613,"CSIRO-MK3.0"," R3","e2","l1",7909.81310121706,10.8568666722567,2.59158258064417,69809.6681227908,4208.07631826028,7.92010803261728,"SA"
"2614",2614,"CSIRO-MK3.0"," R3","e2","l2",7882.33375214832,10.8484811653034,2.57527077119448,69407.2860023007,4195.39849716239,7.9186434167219,"SA"
"2615",2615,"CSIRO-MK3.0"," R3","e2","l3",7893.30658860952,10.744402861601,2.5800697907107,69498.9623990841,4176.0824166704,7.92421464963336,"SA"
"2616",2616,"CSIRO-MK3.0"," R3","e2","l5",7883.83889184045,10.8346993294253,2.5466590160795,69491.6141992435,4183.94327629358,7.92169803533834,"SA"
"2617",2617,"CSIRO-MK3.0"," R3","e2","l10",7869.71832875013,10.7336914631014,2.55242732295301,69231.6431882791,4187.82479804941,7.89805875408201,"SA"
"2618",2618,"CSIRO-MK3.0"," R3","e2","l15",7884.60472517097,10.8353342217742,2.54043439024827,69316.751033999,4188.67827276699,7.91030034952273,"SA"
"2619",2619,"CSIRO-MK3.0"," R3","e3","l0",7951.5696117633,11.017571381235,2.6716813632811,71510.5649381876,4283.13201619312,8.8863760618573,"SA"
"2620",2620,"CSIRO-MK3.0"," R3","e3","l1",7879.27191004939,10.7069808241795,2.50253525824519,69461.5150657482,4172.08455340005,7.92680596246282,"SA"
"2621",2621,"CSIRO-MK3.0"," R3","e3","l2",7881.86561486898,10.6253848339838,2.49200195394224,69511.4606646821,4168.0466264952,7.9189786678784,"SA"
"2622",2622,"CSIRO-MK3.0"," R3","e3","l3",7849.88236254426,10.5745954439044,2.43233276996762,69213.0694370717,4144.77605768479,7.92016939212772,"SA"
"2623",2623,"CSIRO-MK3.0"," R3","e3","l5",7838.284891102,10.5919789508334,2.45145441644127,69172.4772700109,4167.05832001753,7.93183385842349,"SA"
"2624",2624,"CSIRO-MK3.0"," R3","e3","l10",7849.00603043493,10.5954935324553,2.49968861520756,69181.1269088648,4157.19224768691,7.93894529503305,"SA"
"2625",2625,"CSIRO-MK3.0"," R3","e3","l15",7876.84028886259,10.6169206944469,2.48143566277577,69214.2991977744,4148.5182933975,7.92238010111905,"SA"
"2626",2626,"CSIRO-MK3.0"," R3","e5","l0",7924.09980319543,10.7652387836424,2.47356620049686,70738.5916309431,4241.73675873317,8.87900940525506,"SA"
"2627",2627,"CSIRO-MK3.0"," R3","e5","l1",7902.98091114284,10.4641707241535,2.40976715285797,69168.6727749184,4152.27486519143,7.92573262162477,"SA"
"2628",2628,"CSIRO-MK3.0"," R3","e5","l2",7852.76082969969,10.4407520699897,2.41122962936061,68840.1704640128,4151.42853767611,7.9235646004905,"SA"
"2629",2629,"CSIRO-MK3.0"," R3","e5","l3",7839.99965902232,10.4464719464886,2.35006392831565,68791.1941092461,4136.46400719881,7.92839418664735,"SA"
"2630",2630,"CSIRO-MK3.0"," R3","e5","l5",7857.07552947076,10.3842129459372,2.40742846566718,68611.6913142614,4134.32222791016,7.91338787106506,"SA"
"2631",2631,"CSIRO-MK3.0"," R3","e5","l10",7852.13884964157,10.3703236409638,2.35253444494447,68481.7958474159,4117.40035773255,7.91543050835389,"SA"
"2632",2632,"CSIRO-MK3.0"," R3","e5","l15",7883.41643467229,10.4256088266266,2.37405581588973,68856.0265856795,4128.04971891455,7.9216775821682,"SA"
