GCM,RCM,Edge_Treatment,Landscape_Treatment,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,region
CCCMA3.1,R2,e2,l15,170.2095198,0.056185928,0.050157148,295.4373607,5.1287645,2.177847725,NSW_BHILL
CCCMA3.1,R2,e3,l0,215.8409763,0.055311468,0.049420562,330.2669841,5.058691364,1.71383692,NSW_BHILL
CCCMA3.1,R2,e3,l1,208.107991,0.055987503,0.050005227,328.9101421,5.115876269,1.772730458,NSW_BHILL
CCCMA3.1,R2,e3,l2,203.9634825,0.055352348,0.049451613,313.2599099,5.061303169,1.774235475,NSW_BHILL
CCCMA3.1,R2,e3,l3,199.7522223,0.056064839,0.050065085,315.9584517,5.121010836,1.749413067,NSW_BHILL
CCCMA3.1,R2,e3,l5,194.1395637,0.056089421,0.050083667,313.1830638,5.122565253,2.035593361,NSW_BHILL
CCCMA3.1,R2,e3,l10,181.9664622,0.056185937,0.050157413,308.3656792,5.128809406,2.102336373,NSW_BHILL
CCCMA3.1,R2,e3,l15,168.429912,0.056952241,0.050845201,295.0966832,5.19888638,2.173738484,NSW_BHILL
CCCMA3.1,R2,e5,l0,215.8222232,0.056512498,0.050505493,334.3365251,5.169795362,2.043452869,NSW_BHILL
CCCMA3.1,R2,e5,l1,207.7422617,0.056672345,0.050630168,332.3848664,5.180579565,2.097065765,NSW_BHILL
CCCMA3.1,R2,e5,l2,203.6659214,0.056594785,0.050568967,317.9288307,5.175220087,2.086930041,NSW_BHILL
CCCMA3.1,R2,e5,l3,198.4424157,0.056703354,0.05065397,319.7877713,5.182603762,2.07848093,NSW_BHILL
CCCMA3.1,R2,e5,l5,193.2638375,0.056740417,0.050682366,317.0033818,5.185015219,2.41016153,NSW_BHILL
CCCMA3.1,R2,e5,l10,181.0621278,0.056873916,0.050785435,312.6317967,5.193835099,2.361658627,NSW_BHILL
CCCMA3.1,R2,e5,l15,167.2026186,0.057118914,0.050984591,298.2615956,5.211855978,2.462568203,NSW_BHILL
CCCMA3.1,R2,e10,l0,202.493749,0.05618939,0.050159998,330.0375797,5.129023186,2.079041557,NSW_BHILL
CCCMA3.1,R2,e10,l1,194.9826318,0.056221278,0.050184293,328.1815726,5.131072714,2.143148952,NSW_BHILL
CCCMA3.1,R2,e10,l2,190.7966651,0.056193603,0.050163003,313.3304553,5.129259227,2.124306028,NSW_BHILL
CCCMA3.1,R2,e10,l3,186.3864511,0.056202498,0.050169728,316.0076357,5.12982112,2.098616544,NSW_BHILL
CCCMA3.1,R2,e10,l5,180.9676327,0.056223795,0.050185997,312.613845,5.131197451,2.269137276,NSW_BHILL
CCCMA3.1,R2,e10,l10,169.7975767,0.056258116,0.050212147,308.5497374,5.133405492,2.399052313,NSW_BHILL
CCCMA3.1,R2,e10,l15,156.4980093,0.05700318,0.050883761,294.6757587,5.202119184,2.354119574,NSW_BHILL
CCCMA3.1,R2,e15,l0,196.0280609,0.056928528,0.050827096,328.384294,5.197356142,2.56854402,NSW_BHILL
CCCMA3.1,R2,e15,l1,188.3609978,0.056943701,0.050838626,326.6527113,5.198326022,2.592948634,NSW_BHILL
CCCMA3.1,R2,e15,l2,184.2149874,0.056945098,0.050839738,312.012139,5.198423509,2.59234736,NSW_BHILL
CCCMA3.1,R2,e15,l3,179.5301939,0.056961461,0.050852164,314.1659142,5.199468231,2.572900871,NSW_BHILL
CCCMA3.1,R2,e15,l5,174.7894821,0.056958905,0.050850137,311.2808401,5.199291296,2.743103681,NSW_BHILL
CCCMA3.1,R2,e15,l10,163.7806043,0.05698636,0.050870992,306.8235365,5.201047596,2.825322811,NSW_BHILL
CCCMA3.1,R2,e15,l15,151.8072154,0.05722013,0.05106165,293.0521001,5.218354978,2.68735622,NSW_BHILL
CCCMA3.1,R3,e0,l0,231.7196844,0.053689018,0.048042947,333.5446482,4.926302978,1.408558919,NSW_BHILL
CCCMA3.1,R3,e0,l1,223.6965371,0.054292193,0.048565942,332.213102,4.977706985,1.702156883,NSW_BHILL
CCCMA3.1,R3,e0,l2,219.2688276,0.05391786,0.048221502,317.1383778,4.941752351,1.690043114,NSW_BHILL
CCCMA3.1,R3,e0,l3,215.3037625,0.054565969,0.04878598,320.1378468,4.997362113,1.663917254,NSW_BHILL
CCCMA3.1,R3,e0,l5,208.8813889,0.054678281,0.048875123,316.7335112,5.005229001,1.99519143,NSW_BHILL
CCCMA3.1,R3,e0,l10,197.0339877,0.055453656,0.049537404,312.9980885,5.069169672,2.099787964,NSW_BHILL
CCCMA3.1,R3,e0,l15,181.2913482,0.055555087,0.049615279,298.6965927,5.075795329,2.179868599,NSW_BHILL
CCCMA3.1,R3,e1,l0,225.7034219,0.055212646,0.049384622,333.8986978,5.060157506,1.696563513,NSW_BHILL
CCCMA3.1,R3,e1,l1,217.9328691,0.055725846,0.049836837,332.3574784,5.105384143,1.765338692,NSW_BHILL
CCCMA3.1,R3,e1,l2,213.0903575,0.05539025,0.049523297,316.9365548,5.072167203,1.753716188,NSW_BHILL
CCCMA3.1,R3,e1,l3,209.3198192,0.055476042,0.049590103,319.4569063,5.077933132,1.733419802,NSW_BHILL
CCCMA3.1,R3,e1,l5,203.1090823,0.055568758,0.049661452,316.4473562,5.084018389,2.009410802,NSW_BHILL
CCCMA3.1,R3,e1,l10,191.2656878,0.056246897,0.050247914,312.1781754,5.141404408,2.111998529,NSW_BHILL
CCCMA3.1,R3,e1,l15,176.0418572,0.056304461,0.050291837,297.9672329,5.14511582,2.190083753,NSW_BHILL
CCCMA3.1,R3,e2,l0,219.9391787,0.054061577,0.048335351,330.0669214,4.951778152,1.656859574,NSW_BHILL
CCCMA3.1,R3,e2,l1,211.8804186,0.055083202,0.049242338,329.1209266,5.043055076,1.745805921,NSW_BHILL
CCCMA3.1,R3,e2,l2,208.4979884,0.054551481,0.048769514,314.0872501,4.995453442,1.740042108,NSW_BHILL
CCCMA3.1,R3,e2,l3,202.7278303,0.054816766,0.048982524,315.7391769,5.014464543,1.701341559,NSW_BHILL
CCCMA3.1,R3,e2,l5,197.4462034,0.054870535,0.049023816,313.2975618,5.01797791,1.992955118,NSW_BHILL
CCCMA3.1,R3,e2,l10,185.732503,0.05549436,0.049566839,309.1713625,5.071506672,2.090963032,NSW_BHILL
CCCMA3.1,R3,e2,l15,170.5808348,0.055674999,0.049707903,294.8642438,5.083725544,2.1669158,NSW_BHILL
CCCMA3.1,R3,e3,l0,216.1626188,0.054785898,0.048958791,329.6303274,5.012441881,1.699950033,NSW_BHILL
CCCMA3.1,R3,e3,l1,208.4790033,0.055473907,0.049553924,328.2856038,5.070661529,1.758885562,NSW_BHILL
CCCMA3.1,R3,e3,l2,204.3708797,0.054826712,0.048989791,312.7228534,5.015049848,1.760939299,NSW_BHILL
CCCMA3.1,R3,e3,l3,200.1205397,0.055552864,0.04961504,315.4547744,5.075903562,1.734679392,NSW_BHILL
CCCMA3.1,R3,e3,l5,194.5616315,0.05557793,0.04963398,312.6413063,5.0774883,2.024386551,NSW_BHILL
CCCMA3.1,R3,e3,l10,182.369932,0.05567532,0.049708411,307.7685212,5.083790791,2.090708537,NSW_BHILL
CCCMA3.1,R3,e3,l15,168.8000302,0.056452764,0.050406282,294.496048,5.154905195,2.16312459,NSW_BHILL
CCCMA3.1,R3,e5,l0,216.1927933,0.056006625,0.050061603,333.7195594,5.125385465,2.027965849,NSW_BHILL
CCCMA3.1,R3,e5,l1,208.1638131,0.056168568,0.050187933,331.7688643,5.136314747,2.081067475,NSW_BHILL
CCCMA3.1,R3,e5,l2,204.1278875,0.056089883,0.050125828,317.4304147,5.130875437,2.071590322,NSW_BHILL
CCCMA3.1,R3,e5,l3,198.8494146,0.056200495,0.050212443,319.3110856,5.138398434,2.062174464,NSW_BHILL
CCCMA3.1,R3,e5,l5,193.7185853,0.056238023,0.050241197,316.4850804,5.140840212,2.396613489,NSW_BHILL
CCCMA3.1,R3,e5,l10,181.5043229,0.056373437,0.050345751,312.0704876,5.149788667,2.34860744,NSW_BHILL
CCCMA3.1,R3,e5,l15,167.5782892,0.056621502,0.050547446,297.6799834,5.168042133,2.451250198,NSW_BHILL
CCCMA3.1,R3,e10,l0,202.8204414,0.055677521,0.049710038,329.3862775,5.083923972,2.064772369,NSW_BHILL
CCCMA3.1,R3,e10,l1,195.3689072,0.055709826,0.049734652,327.5342317,5.086001134,2.12912481,NSW_BHILL
CCCMA3.1,R3,e10,l2,191.2070014,0.055681896,0.049713166,312.7855204,5.084170376,2.110612194,NSW_BHILL
CCCMA3.1,R3,e10,l3,186.7521669,0.055690897,0.049719964,315.4989581,5.084738794,2.082883167,NSW_BHILL
CCCMA3.1,R3,e10,l5,181.385082,0.055712505,0.049736476,312.0520449,5.08613585,2.256297056,NSW_BHILL
CCCMA3.1,R3,e10,l10,170.1995037,0.055747336,0.049763013,307.9507199,5.088376514,2.386312851,NSW_BHILL
CCCMA3.1,R3,e10,l15,156.8291426,0.056503457,0.050444661,294.0724423,5.158122647,2.34149589,NSW_BHILL
CCCMA3.1,R3,e15,l0,196.3187886,0.056427702,0.050387162,327.7213561,5.153288985,2.552917194,NSW_BHILL
CCCMA3.1,R3,e15,l1,188.7141771,0.056443064,0.050398826,325.9957247,5.154270379,2.578668684,NSW_BHILL
CCCMA3.1,R3,e15,l2,184.6092781,0.056444883,0.050400265,311.4632315,5.1543955,2.577225766,NSW_BHILL
CCCMA3.1,R3,e15,l3,179.8526597,0.056461277,0.050412711,313.6397235,5.155442141,2.555714995,NSW_BHILL
CCCMA3.1,R3,e15,l5,175.1754498,0.056458703,0.050410676,310.7141998,5.155264054,2.72829161,NSW_BHILL
CCCMA3.1,R3,e15,l10,164.1441938,0.056486589,0.050431862,306.210836,5.157047604,2.81029716,NSW_BHILL
CCCMA3.1,R3,e15,l15,152.1275452,0.056723553,0.050625151,292.426221,5.174596401,2.671363042,NSW_BHILL
CSIRO-MK3.0,R1,e0,l0,275.0306024,0.057905768,0.05176707,389.414601,5.301626845,1.515260496,NSW_BHILL
CSIRO-MK3.0,R1,e0,l1,265.2107868,0.058573017,0.052344998,387.7634718,5.358365766,1.862708317,NSW_BHILL
CSIRO-MK3.0,R1,e0,l2,259.7421768,0.058164055,0.051968515,369.0651621,5.319048218,1.851721697,NSW_BHILL
CSIRO-MK3.0,R1,e0,l3,254.86236,0.058874877,0.052587516,372.9186284,5.380022447,1.81709221,NSW_BHILL
CSIRO-MK3.0,R1,e0,l5,246.8502422,0.059006359,0.052692066,368.2898207,5.389266817,2.216138034,NSW_BHILL
CSIRO-MK3.0,R1,e0,l10,232.2543997,0.059863771,0.053423877,363.8749084,5.459862698,2.336625739,NSW_BHILL
CSIRO-MK3.0,R1,e0,l15,212.9812803,0.059981785,0.053514536,346.4442881,5.467579133,2.43197618,NSW_BHILL
CSIRO-MK3.0,R1,e1,l0,267.6859694,0.059737212,0.053381882,389.8781192,5.462959251,1.859468535,NSW_BHILL
CSIRO-MK3.0,R1,e1,l1,258.1932992,0.060302244,0.053879466,387.9927181,5.512692547,1.93971572,NSW_BHILL
CSIRO-MK3.0,R1,e1,l2,252.228843,0.059934676,0.053536007,368.9153652,5.476301141,1.928799407,NSW_BHILL
CSIRO-MK3.0,R1,e1,l3,247.5673489,0.06002928,0.053609653,372.2700507,5.482656214,1.902372788,NSW_BHILL
CSIRO-MK3.0,R1,e1,l5,239.8607731,0.060133967,0.053690235,368.0665531,5.489530577,2.233133174,NSW_BHILL
CSIRO-MK3.0,R1,e1,l10,225.2558403,0.060879536,0.054334805,363.0581728,5.552580817,2.35158401,NSW_BHILL
CSIRO-MK3.0,R1,e1,l15,206.6533829,0.060946114,0.054385618,345.7212794,5.556876382,2.443878219,NSW_BHILL
CSIRO-MK3.0,R1,e2,l0,260.609714,0.058337463,0.052106024,385.326731,5.331169987,1.811196641,NSW_BHILL
CSIRO-MK3.0,R1,e2,l1,250.7539491,0.059459544,0.053101904,384.0993411,5.431364661,1.914138913,NSW_BHILL
CSIRO-MK3.0,R1,e2,l2,246.5628306,0.058877047,0.05258388,365.4183658,5.379208009,1.912268827,NSW_BHILL
CSIRO-MK3.0,R1,e2,l3,239.6583855,0.059168381,0.052817772,367.8578677,5.400080956,1.862125573,NSW_BHILL
CSIRO-MK3.0,R1,e2,l5,233.0256655,0.059229038,0.052864361,364.2394829,5.404045296,2.211072839,NSW_BHILL
CSIRO-MK3.0,R1,e2,l10,218.6077407,0.059914833,0.053461129,359.4160886,5.462851785,2.32632052,NSW_BHILL
