region,Edge_Treatment,Landscape_Treatment,X,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,L_Burnt_Actual,E_Burnt_Actual,Scenario,GCM,RCM,GCM_RCM,Fire_area_rel,House_loss_rel,Life_loss_rel,Road_loss_rel,Power_loss_rel,TFI_burnt_rel
ACT,E10,L02,283,559.412217,0.493278185,0.25011104,4045.767105,243.2707023,21.02359503,1.819285412,4.583795192,Present,,,,0.703289505,0.323453187,0.291893758,0.63076587,0.636560878,2.382933429
ACT,E10,L03,284,483.4170774,0.488872922,0.24647606,3366.206556,203.328039,21.63854863,2.67703255,4.583795192,Present,,,,0.607748895,0.320564561,0.287651531,0.524817211,0.532043825,2.452635756
ACT,E10,L05,285,414.1516798,0.460790788,0.239899787,2612.45042,187.8069181,24.2708223,3.880320336,4.583795192,Present,,,,0.520668875,0.302150498,0.279976648,0.407300895,0.491430063,2.750992575
ACT,E10,L10,286,341.3637113,0.444747086,0.23739485,2090.583786,157.9253969,23.75222465,4.490556709,4.583795192,Present,,,,0.429160301,0.291630294,0.277053244,0.325937916,0.413239771,2.692211777
ACT,E10,L15,287,295.1845999,0.433749968,0.234685066,1816.707539,145.9175902,21.13039237,5.038120582,4.583795192,Present,,,,0.371104214,0.284419246,0.273890773,0.283238526,0.381819218,2.395038445
ACT,E15,L00,288,768.760251,0.501475865,0.283046623,6149.713522,367.8917673,13.31927118,0,5.022216164,Present,,,,0.96648053,0.328828583,0.330331451,0.958787122,0.962653966,1.509681693
ACT,E15,L01,289,661.2706826,0.50376618,0.262958534,5083.610579,291.318186,18.83062644,0.945081155,5.022216164,Present,,,,0.831345324,0.330330392,0.306887512,0.792573563,0.762285628,2.134369939
ACT,E15,L02,290,557.343049,0.47422409,0.258266826,3997.877706,241.6357654,22.12722756,1.819285412,5.022216164,Present,,,,0.70068816,0.310959004,0.301412023,0.623299548,0.632282776,2.508025396
ACT,E15,L03,291,485.2019771,0.461301852,0.24816111,3351.942191,201.4026987,22.27077085,2.67703255,5.022216164,Present,,,,0.60999286,0.302485613,0.28961808,0.522593288,0.527005831,2.524295406
ACT,E15,L05,292,420.8661812,0.444569353,0.24293,2609.403224,186.778551,25.06467672,3.880320336,5.022216164,Present,,,,0.529110304,0.291513751,0.283513078,0.406825814,0.488739159,2.840972534
ACT,E15,L10,293,346.2370958,0.428779251,0.241699171,2063.632853,156.3336634,24.21714385,4.490556709,5.022216164,Present,,,,0.435287089,0.281159839,0.28207663,0.321736061,0.409074718,2.744908354
ACT,E15,L15,294,293.4285541,0.418821967,0.235921418,1795.273167,143.334017,21.8599851,5.038120582,5.022216164,Present,,,,0.368896524,0.274630633,0.275333666,0.279896744,0.375058841,2.477734621
ACT,E00,L00,,810.1053378,1.54732155,0.86911629,6562.67415,390.8477305,8.894073527,,,Future,CCCMA3.1,R1,CCCMA3.1_R1,1.018459312,1.014612245,1.014307966,1.023170826,1.022722309,1.008104708
ACT,E00,L00,,829.4015408,1.575371552,0.883126475,6752.348979,401.5926496,8.977684225,,,Future,CCCMA3.1,R2,CCCMA3.1_R2,1.042718377,1.033005239,1.030658646,1.052742575,1.050838293,1.017581619
ACT,E00,L00,,841.7367353,1.591839291,0.892554818,6860.737101,408.05583,9.040224063,,,Future,CCCMA3.1,R3,CCCMA3.1_R3,1.058226105,1.043803492,1.041662057,1.069641107,1.067750349,1.024670238
ACT,E00,L00,,832.754378,1.576120795,0.886569136,6745.111405,402.0828635,9.014841674,,,Future,CSIRO-MK3.0,R1,CSIRO-MK3.0_R1,1.046933543,1.033496534,1.034676427,1.051614182,1.052121024,1.021793254
ACT,E00,L00,,846.5793923,1.595519602,0.896172634,6884.316645,409.8372615,9.075490469,,,Future,CSIRO-MK3.0,R2,CSIRO-MK3.0_R2,1.064314263,1.046216751,1.045884253,1.073317338,1.07241178,1.028667533
ACT,E00,L00,,851.1552312,1.601562629,0.900586017,6913.481831,411.9756709,9.104308189,,,Future,CSIRO-MK3.0,R3,CSIRO-MK3.0_R3,1.070066979,1.050179295,1.051034921,1.077864412,1.078007307,1.031933896
ACT,E00,L00,,850.5410552,1.602068222,0.899946865,6919.538052,412.0688655,9.094870345,,,Future,ECHAM5,R1,ECHAM5_R1,1.069294841,1.050510823,1.050288995,1.078808623,1.078251167,1.030864158
ACT,E00,L00,,860.7083884,1.620165902,0.906883128,7073.285502,419.8092246,9.126573938,,,Future,ECHAM5,R2,ECHAM5_R2,1.082077148,1.062377864,1.058384007,1.10277902,1.098505188,1.034457623
ACT,E00,L00,,883.2178842,1.647631804,0.923794466,7246.785715,430.5774434,9.248053668,,,Future,ECHAM5,R3,ECHAM5_R3,1.110375944,1.080387851,1.078120497,1.129829023,1.126682139,1.048226824
ACT,E00,L00,,786.5257256,1.514669824,0.850318301,6351.442087,378.178416,8.774046524,,,Future,MIROC3.2,R1,MIROC3.2_R1,0.988815173,0.993201801,0.992369648,0.99023814,0.989570804,0.994500167
ACT,E00,L00,,790.3776126,1.520582836,0.854135143,6380.805388,380.1854713,8.795586231,,,Future,MIROC3.2,R2,MIROC3.2_R2,0.993657741,0.997079091,0.996824119,0.994816102,0.994822619,0.9969416
ACT,E00,L00,,796.8368379,1.527738841,0.858124917,6437.890827,383.4049623,8.828685951,,,Future,MIROC3.2,R3,MIROC3.2_R3,1.001778238,1.001771439,1.001480411,1.003716157,1.003246988,1.00069331
ACT,E00,L01,,694.4149416,1.447700521,0.76340339,5443.944061,312.3634184,14.82069711,,,Future,CCCMA3.1,R1,CCCMA3.1_R1,0.873014077,0.949288579,0.890935021,0.848752294,0.817354206,1.679861819
ACT,E00,L01,,709.6092553,1.474129009,0.772443144,5581.552287,320.2604919,15.05749013,,,Future,CCCMA3.1,R2,CCCMA3.1_R2,0.892116272,0.966618311,0.901484926,0.870206463,0.838018298,1.706701282
ACT,E00,L01,,719.5818252,1.48893837,0.779142647,5665.832638,324.8941329,15.2255718,,,Future,CCCMA3.1,R3,CCCMA3.1_R3,0.904653724,0.97632913,0.909303626,0.883346411,0.85014304,1.725752611
ACT,E00,L01,,712.6317614,1.473574059,0.775797246,5585.496199,320.1311879,15.14724497,,,Future,CSIRO-MK3.0,R1,CSIRO-MK3.0_R1,0.895916148,0.966254418,0.905399353,0.870821349,0.837679951,1.716874604
ACT,E00,L01,,723.8217643,1.491148587,0.782544685,5691.84059,325.985702,15.31034346,,,Future,CSIRO-MK3.0,R2,CSIRO-MK3.0_R2,0.909984149,0.977778417,0.913273997,0.887401249,0.852999324,1.735361112
ACT,E00,L01,,727.4084244,1.49679605,0.785499754,5713.939131,327.2953447,15.39078428,,,Future,CSIRO-MK3.0,R3,CSIRO-MK3.0_R3,0.914493275,0.981481581,0.91672273,0.89084658,0.856426236,1.74447873
ACT,E00,L01,,726.7849166,1.497719366,0.784695984,5715.172652,327.5006664,15.36943963,,,Future,ECHAM5,R1,ECHAM5_R1,0.913709405,0.982087019,0.915784685,0.891038895,0.856963496,1.742059407
ACT,E00,L01,,735.7479636,1.513151868,0.790395167,5842.869871,334.2915466,15.43626904,,,Future,ECHAM5,R2,ECHAM5_R2,0.924977691,0.992206445,0.922435954,0.910947863,0.874733037,1.749634231
ACT,E00,L01,,753.8074289,1.537749184,0.802448577,5976.965481,341.6007147,15.76550456,,,Future,ECHAM5,R3,ECHAM5_R3,0.947681937,1.008335437,0.936502967,0.931854389,0.89385877,1.786951651
ACT,E00,L01,,675.3508862,1.418168466,0.750166089,5279.474666,303.2335166,14.49770553,,,Future,MIROC3.2,R1,MIROC3.2_R1,0.849046867,0.929923771,0.87548634,0.823110264,0.793464201,1.643252123
ACT,E00,L01,,678.2672654,1.424004164,0.752468618,5299.542004,304.5232773,14.56125406,,,Future,MIROC3.2,R2,MIROC3.2_R2,0.852713321,0.933750365,0.878173522,0.826238915,0.796839088,1.650455073
ACT,E00,L01,,683.7739473,1.429635315,0.755930655,5348.635963,306.9460642,14.64189995,,,Future,MIROC3.2,R3,MIROC3.2_R3,0.859636286,0.937442832,0.882213916,0.833893037,0.803178739,1.659595935
ACT,E00,L02,,589.0596699,1.180736071,0.634803747,4322.444944,261.6386112,18.39846016,,,Future,CCCMA3.1,R1,CCCMA3.1_R1,0.740562095,0.774234209,0.740851949,0.67390205,0.684623764,2.085385763
ACT,E00,L02,,601.8573646,1.204924646,0.644214726,4419.472055,268.0982551,18.71364357,,,Future,CCCMA3.1,R2,CCCMA3.1_R2,0.756651276,0.790095181,0.751835095,0.689029315,0.701526567,2.121110437
ACT,E00,L02,,610.3549967,1.218412413,0.650032236,4483.288682,271.9253528,18.93840783,,,Future,CCCMA3.1,R3,CCCMA3.1_R3,0.767334446,0.798939402,0.758624459,0.698978812,0.711540846,2.146586493
ACT,E00,L02,,604.7848654,1.204644695,0.645319814,4430.880577,268.1797057,18.83509142,,,Future,CSIRO-MK3.0,R1,CSIRO-MK3.0_R1,0.760331712,0.789911611,0.753124796,0.69080799,0.701739697,2.134876025
ACT,E00,L02,,614.0733687,1.220483205,0.65158283,4507.788481,272.902403,19.05423335,,,Future,CSIRO-MK3.0,R2,CSIRO-MK3.0_R2,0.772009159,0.800297265,0.76043409,0.702798517,0.71409747,2.159714814
ACT,E00,L02,,617.330217,1.225772944,0.654194561,4526.431226,274.0685217,19.16009532,,,Future,CSIRO-MK3.0,R3,CSIRO-MK3.0_R3,0.776103648,0.803765861,0.763482128,0.705705063,0.717148827,2.171713809
ACT,E00,L02,,616.7034042,1.226553025,0.654146388,4524.668786,274.1832553,19.13078354,,,Future,ECHAM5,R1,ECHAM5_R1,0.775315623,0.804277377,0.763425908,0.705430285,0.717449047,2.168391446
ACT,E00,L02,,623.4390001,1.23899043,0.659066603,4619.303079,279.24608,19.22263536,,,Future,ECHAM5,R2,ECHAM5_R2,0.783783572,0.812432853,0.769168077,0.720184492,0.730696825,2.178802452
ACT,E00,L02,,639.0922519,1.261973833,0.669123923,4721.744093,285.4712598,19.66370834,,,Future,ECHAM5,R3,ECHAM5_R3,0.803462741,0.827503568,0.78090554,0.736155825,0.74698611,2.228796164
ACT,E00,L02,,572.8066853,1.154028479,0.623111159,4196.914498,254.13193,17.96805946,,,Future,MIROC3.2,R1,MIROC3.2_R1,0.720128946,0.756721462,0.727206036,0.654330898,0.664981204,2.036601708
ACT,E00,L02,,575.4443644,1.159457056,0.625564889,4212.46618,255.2517668,18.0507376,,,Future,MIROC3.2,R2,MIROC3.2_R2,0.723445019,0.760281098,0.730069678,0.656755524,0.667911455,2.045972917
ACT,E00,L02,,579.9994685,1.164479528,0.627763829,4250.371368,257.212706,18.16159726,,,Future,MIROC3.2,R3,MIROC3.2_R3,0.729171667,0.763574441,0.732635966,0.662665231,0.6730426,2.058538379
ACT,E00,L03,,516.0806045,1.318662862,0.718379489,3634.154397,218.8424773,19.37457401,,,Future,CCCMA3.1,R1,CCCMA3.1_R1,0.648813275,0.864675792,0.838389577,0.566592318,0.5726401,2.19602404
ACT,E00,L03,,526.7972986,1.341446062,0.727398328,3709.514991,224.1110915,19.69462894,,,Future,CCCMA3.1,R2,CCCMA3.1_R2,0.662286235,0.87961523,0.848915073,0.578341607,0.586426363,2.23230088
ACT,E00,L03,,534.1550558,1.355746863,0.733775614,3760.154013,227.2540169,19.92102907,,,Future,CCCMA3.1,R3,CCCMA3.1_R3,0.671536361,0.888992575,0.856357727,0.586236616,0.594650384,2.257962354
ACT,E00,L03,,529.8819613,1.345309318,0.73049047,3719.71595,224.26974,19.80957942,,,Future,CSIRO-MK3.0,R1,CSIRO-MK3.0_R1,0.666164254,0.88214845,0.852523778,0.579932015,0.586841495,2.245330019
ACT,E00,L03,,537.6804357,1.360514199,0.736793686,3780.055037,228.099165,20.04036111,,,Future,CSIRO-MK3.0,R2,CSIRO-MK3.0_R2,0.675968447,0.89211862,0.859879988,0.589339337,0.596861863,2.271488124
