"Landscape_Treatment","Edge_Treatment","total","houseloss","carbon","powerloss","environmental","lifeloss","edge","landscape","region"
"l2","e2",7935119.6472399,3424707.51846734,605465.772907629,63509.0078663793,970490.661119352,954464.481522515,1204105.12182441,712377.083532274,"TAS"
"l3","e2",7964190.51221438,3393199.50383298,601430.276148777,62779.3943758686,976167.776486503,927664.718273758,1204105.12182441,798843.721272083,"TAS"
"l5","e2",8004679.88232095,3321857.14446553,593320.005427483,61659.4370014306,964608.134572035,918532.100490477,1204105.12182441,940597.938539588,"TAS"
"l10","e2",7919444.54253507,3135067.38747561,575142.270436886,58897.9892447197,940376.467170992,887722.932379356,1204105.12182441,1118132.3740031,"TAS"
"l15","e2",7738920.25879126,3011885.04977936,565078.039509888,58231.8055631186,923064.156060324,794832.473690356,1204105.12182441,1181723.6123638,"TAS"
"l0","e3",7343389.81380337,3261981.88812198,607301.470305114,62899.2637653158,977936.046200106,890155.669704025,1543115.47570683,0,"TAS"
"l1","e3",7874560.683872,3254858.93936022,599279.583257397,62677.4313097322,973771.011267646,849323.899463974,1543115.47570683,591534.343506195,"TAS"
"l2","e3",7917620.30607146,3184221.82045947,592117.328519603,62068.1404585737,959587.720806616,864132.7365881,1543115.47570683,712377.083532274,"TAS"
"l3","e3",7940439.58036725,3148252.13797207,590403.706278348,61728.6993126719,958030.409520906,840065.430304346,1543115.47570683,798843.721272083,"TAS"
"l5","e3",7882984.644668,3021756.63758786,581517.162272997,61306.0167424698,944502.523330048,790188.890488203,1543115.47570683,940597.938539588,"TAS"
"l10","e3",7897757.86584521,2922272.82839169,565931.112393357,58220.6359789624,923924.241492544,766161.197878721,1543115.47570683,1118132.3740031,"TAS"
"l15","e3",7699600.00485064,2760491.69035885,553515.119008415,57183.9452023655,905059.697021017,698510.465189359,1543115.47570683,1181723.6123638,"TAS"
"l0","e5",7272972.15478095,2750822.72154788,579534.915302616,57440.6794775015,936910.729186276,717431.768583811,2230831.34068286,0,"TAS"
"l1","e5",7762168.93990047,2668995.49492006,571004.388656843,56182.8559933695,942031.476966035,701589.039175103,2230831.34068286,591534.343506195,"TAS"
"l2","e5",7862501.32944709,2663700.48414299,567357.603646879,56407.1702017955,923721.723057201,708105.924183091,2230831.34068286,712377.083532274,"TAS"
"l3","e5",7865385.47690026,2614078.91792764,563680.737791505,55505.5607131522,911554.934683499,690890.263829522,2230831.34068286,798843.721272083,"TAS"
"l5","e5",7950951.24802479,2573301.73401995,553187.562218808,54939.2880287086,913120.577325563,684972.807209305,2230831.34068286,940597.938539588,"TAS"
"l10","e5",7913154.42931522,2449828.47373176,539567.390532593,51978.368159533,878967.416484048,643849.065721325,2230831.34068286,1118132.3740031,"TAS"
"l15","e5",7733486.98458049,2281056.05359831,526910.713028128,51777.3340643487,874183.067565377,587004.863277667,2230831.34068286,1181723.6123638,"TAS"
"l0","e10",6861119.21583861,1972244.43182149,539751.815932278,49642.0527297792,885416.526906114,499962.141978635,2914102.24647032,0,"TAS"
"l1","e10",7359974.08883851,1918972.59760081,532355.869331169,49798.7133392798,871906.055449986,481304.263140756,2914102.24647032,591534.343506195,"TAS"
"l2","e10",7433629.77118329,1877588.30485872,527145.774774993,49171.0859836861,866891.550727125,486353.724836175,2914102.24647032,712377.083532274,"TAS"
"l3","e10",7543273.5402294,1893451.50079829,523634.502268264,49316.3160181063,861111.506442661,502813.746959677,2914102.24647032,798843.721272083,"TAS"
"l5","e10",7585382.12912958,1843655.01718341,515101.269005103,48003.4893344465,851086.578592561,472835.590004157,2914102.24647032,940597.938539588,"TAS"
"l10","e10",7605216.12185117,1740688.68392237,502242.05990381,46190.9385962434,830062.504847763,453797.314107563,2914102.24647032,1118132.3740031,"TAS"
"l15","e10",7557990.79020419,1685375.71002905,490591.381577025,45567.5199407214,811804.623593983,428825.696229287,2914102.24647032,1181723.6123638,"TAS"
"l0","e15",6695668.2412362,1700170.06608944,520935.220400709,47431.2283779206,862336.383977332,426961.627872288,3137833.71451851,0,"TAS"
"l1","e15",7220129.86854748,1654434.73575176,513505.174921384,47573.5692298033,853513.514717242,421734.815902584,3137833.71451851,591534.343506195,"TAS"
"l2","e15",7271574.00321084,1609931.05717415,507013.822898291,46997.9213941384,846351.360732656,411069.042960824,3137833.71451851,712377.083532274,"TAS"
"l3","e15",7380963.8612229,1628570.89904552,504618.956888475,46922.8911885574,846012.346020689,418161.332289063,3137833.71451851,798843.721272083,"TAS"
"l5","e15",7393121.24378886,1538880.10830847,497775.062161834,45513.1199283264,835990.857511298,396530.442820839,3137833.71451851,940597.938539588,"TAS"
"l10","e15",7456212.08832958,1499088.51256158,480625.261076893,44040.415758496,808969.76204833,367522.048362663,3137833.71451851,1118132.3740031,"TAS"
"l15","e15",8460669.71174536,2128627.8459032,513740.366952767,49518.4336991629,855932.743080124,593292.995227798,3137833.71451851,1181723.6123638,"TAS"
"l0","e0",993729.484979043,615465.759804941,34128.3768721162,2050.88609268123,50629.1144988657,291455.347710438,0,0,"QLD"
"l1","e0",1630201.50749161,615733.617829528,33916.8687655076,2036.46950090102,50640.9188747012,289038.618707887,0,638835.013813082,"QLD"
"l2","e0",1984317.79628522,615822.663392149,33769.2959944752,2034.54873920727,49998.2363342194,288324.308643346,0,994368.743181826,"QLD"
"l3","e0",2228739.69078379,615045.784729989,33702.1933326763,2035.44895437685,50078.3891607949,288459.473657845,0,1239418.40094811,"QLD"
"l5","e0",2486954.12745636,615966.458224521,33460.3099878597,2027.24077750959,49668.868043465,290467.417967042,0,1495363.83245596,"QLD"
"l10","e0",2886830.80566798,614775.804060315,32970.0045630423,2034.59599377978,49214.5326678852,287009.683038486,0,1900826.18534447,"QLD"
"l15","e0",3015768.52334819,614964.152305324,33014.9588569294,2028.01607228515,49153.6502911313,287873.157028607,0,2028734.58879391,"QLD"
"l0","e1",2712417.61697057,579592.490272327,33042.5644382718,2034.76696884503,48960.5003116319,275270.161303425,1773517.13367607,0,"QLD"
"l1","e1",3350441.05965339,579346.739210376,32908.5288095374,1973.22197861817,48931.1445967826,274929.277568923,1773517.13367607,638835.013813082,"QLD"
"l2","e1",3705342.59700543,579290.900325157,32794.136984915,2018.94653886454,48498.1514823544,274854.584816242,1773517.13367607,994368.743181826,"QLD"
